Source,Target,Weight
Benin,Mauritania,3
Benin,Morocco,1
Benin,Mozambique,3
Benin,Nigeria,6
Benin,Senegal,6
Benin,Tanzania,3
Benin,Togo,5
Benin,Zambia,2
Bermuda,Aruba,3
Bermuda,Canada,3
Bermuda,Cayman Islands,1
Bermuda,Costa Rica,3
Bermuda,Cuba,3
Bermuda,Guatemala,1
Bermuda,Guyana,3
Bermuda,Haiti,7
Bermuda,Mexico,6
Bermuda,Montserrat,3
Bermuda,Panama,3
Bermuda,Suriname,3
Bhutan,Bangladesh,9
Bhutan,Guam,3
Bhutan,Nepal,3
Bhutan,Pakistan,3
Bolivia,Argentina,15
Bolivia,Brazil,15
Bolivia,Chile,16
Bolivia,Colombia,4
Bolivia,Ecuador,12
Bolivia,France,3
Bolivia,Iran,3
Bolivia,Iraq,1
Bolivia,Nicaragua,1
Bolivia,Paraguay,10
Bolivia,Peru,15
Bolivia,Saudi Arabia,1
Bolivia,Senegal,3
Bolivia,South Korea,3
Bolivia,United Arab Emirates,1
Bolivia,Uruguay,12
Bolivia,Venezuela,15
Bonaire,Bahamas,4
Bonaire,Dominican Republic,3
Bonaire,Jamaica,3
Bonaire,Saint Vincent and the Grenadines,3
Bonaire,Sint Maarten,1
Bosnia and Herzegovina,Armenia,3
Bosnia and Herzegovina,Austria,3
Bosnia and Herzegovina,Costa Rica,1
Bosnia and Herzegovina,Denmark,3
Bosnia and Herzegovina,Finland,10
Bosnia and Herzegovina,France,4
Bosnia and Herzegovina,Georgia,3
Bosnia and Herzegovina,Greece,4
Bosnia and Herzegovina,Iran,3
Bosnia and Herzegovina,Italy,18
Bosnia and Herzegovina,Kazakhstan,1
Bosnia and Herzegovina,Montenegro,4
Bosnia and Herzegovina,Netherlands,12
Bosnia and Herzegovina,Northern Ireland,1
Bosnia and Herzegovina,Poland,18
Bosnia and Herzegovina,Romania,9
Bosnia and Herzegovina,Spain,3
Bosnia and Herzegovina,Turkey,1
Bosnia and Herzegovina,Ukraine,4
Bosnia and Herzegovina,United States,3
Botswana,Algeria,6
Botswana,Angola,6
Botswana,Egypt,3
Botswana,Eswatini,1
Botswana,Liberia,1
Botswana,Libya,3
Botswana,Malawi,4
Botswana,South Africa,7
Botswana,Tunisia,1
Botswana,Zambia,10
Botswana,Zimbabwe,4
Brazil,Argentina,13
Brazil,Cameroon,12
Brazil,Colombia,2
Brazil,Croatia,4
Brazil,Ecuador,4
Brazil,Nigeria,1
Brazil,Panama,1
Brazil,Paraguay,3
Brazil,Peru,3
Brazil,Senegal,1
Brazil,Venezuela,3
British Virgin Islands,Bahamas,6
British Virgin Islands,Bonaire,9
British Virgin Islands,Cayman Islands,2
British Virgin Islands,Cuba,3
British Virgin Islands,Cura̤ao,3
British Virgin Islands,Guatemala,3
British Virgin Islands,Martinique,3
British Virgin Islands,Puerto Rico,3
British Virgin Islands,Saint Vincent and the Grenadines,3
British Virgin Islands,Suriname,3
British Virgin Islands,Turks and Caicos Islands,1
Brunei,Laos,3
Brunei,Malaysia,3
Brunei,Mongolia,3
Brunei,Timor-Leste,6
Brunei Darussalam,Maldives,3
Bulgaria,Croatia,3
Bulgaria,Cyprus,3
Bulgaria,Czech Republic,3
Bulgaria,England,6
Bulgaria,Finland,18
Bulgaria,France,3
Bulgaria,Georgia,12
Bulgaria,Gibraltar,3
Bulgaria,Hungary,3
Bulgaria,Italy,4
Bulgaria,Kosovo,4
Bulgaria,Lithuania,3
Bulgaria,Luxembourg,1
Bulgaria,Montenegro,2
Bulgaria,North Macedonia,3
Bulgaria,Northern Ireland,1
Bulgaria,Norway,9
Bulgaria,Paraguay,3
Bulgaria,Qatar,3
Bulgaria,Republic of Ireland,9
Bulgaria,Russia,3
Bulgaria,Slovakia,1
Bulgaria,Slovenia,3
Bulgaria,Switzerland,6
Bulgaria,Ukraine,1
Bulgaria,Wales,18
Burkina Faso,Algeria,2
Burkina Faso,Angola,3
Burkina Faso,Belgium,3
Burkina Faso,Cameroon,4
Burkina Faso,DR Congo,1
Burkina Faso,Ethiopia,1
Burkina Faso,Gabon,4
Burkina Faso,Ghana,1
Burkina Faso,Ivory Coast,3
Burkina Faso,Kosovo,3
Burkina Faso,Mauritania,4
Burkina Faso,Morocco,4
Burkina Faso,Niger,1
Burkina Faso,Senegal,3
Burkina Faso,Uganda,2
Burundi,Algeria,1
Burundi,Bahrain,3
Burundi,Cameroon,3
Burundi,Central African Republic,4
Burundi,Comoros,3
Burundi,Ethiopia,1
Burundi,Gabon,1
Burundi,Guinea,3
Burundi,Ivory Coast,3
Burundi,Madagascar,3
Burundi,Mali,1
Burundi,Morocco,6
Burundi,Namibia,1
Burundi,Nigeria,3
Burundi,Tanzania,2
Burundi,Tunisia,3
Burundi,Uganda,6
Cambodia,Afghanistan,1
Cambodia,Bahrain,6
Cambodia,Bangladesh,6
Cambodia,Hong Kong,7
Cambodia,India,3
Cambodia,Iran,6
Cambodia,Iraq,6
Cambodia,Malaysia,9
Cambodia,Mongolia,1
Cambodia,Myanmar,3
Cambodia,Singapore,3
Cambodia,Timor-Leste,1
Cambodia,Vietnam,3
Cameroon,Algeria,3
Cameroon,Benin,1
Cameroon,Brazil,3
Cameroon,Burkina Faso,1
Cameroon,Cape Verde,5
Cameroon,Comoros,1
Cameroon,Egypt,1
Cameroon,Ghana,1
Cameroon,Ivory Coast,3
Cameroon,Jamaica,1
Cameroon,Japan,1
Cameroon,Malawi,1
Cameroon,Mali,1
Cameroon,Morocco,3
Cameroon,Nigeria,4
Cameroon,Panama,1
Cameroon,Rwanda,1
Cameroon,Serbia,4
Cameroon,South Korea,3
Cameroon,South Sudan,1
Cameroon,Switzerland,12
Cameroon,Tunisia,1
Cameroon,Uzbekistan,3
Canada,Bahrain,1
Canada,Belgium,12
Canada,Costa Rica,3
Canada,Croatia,12
Canada,Haiti,3
Canada,Honduras,4
Canada,Iceland,3
Canada,Jamaica,1
Canada,Mexico,7
Canada,Morocco,12
Canada,Panama,3
Canada,United States,7
Canada,Uruguay,3
Cape Verde,Burkina Faso,6
Cape Verde,Cameroon,2
Cape Verde,Central African Republic,1
Cape Verde,Ecuador,3
Cape Verde,Guinea,3
Cape Verde,Mauritania,4
Cape Verde,Mozambique,1
Cape Verde,Nigeria,4
Cape Verde,Senegal,6
Cape Verde,Tanzania,3
Cape Verde,Uganda,3
Cayman Islands,Aruba,3
Cayman Islands,Barbados,3
Cayman Islands,Bermuda,1
Cayman Islands,British Virgin Islands,2
Cayman Islands,Canada,3
Cayman Islands,Dominican Republic,3
Cayman Islands,Jamaica,3
Cayman Islands,Montserrat,3
Cayman Islands,Puerto Rico,3
Cayman Islands,Saint Lucia,1
Cayman Islands,Saint Martin,3
Cayman Islands,Suriname,3
Central African Republic,Angola,3
Central African Republic,Burundi,1
Central African Republic,Cape Verde,4
Central African Republic,DR Congo,6
Central African Republic,Ghana,1
Central African Republic,Guinea,1
Central African Republic,Ivory Coast,4
Central African Republic,Liberia,6
Central African Republic,Mauritania,6
Central African Republic,Nigeria,3
Central African Republic,Rwanda,6
Central African Republic,Sudan,1
Central African Republic,Tanzania,3
Chad,Equatorial Guinea,4
Chad,Gambia,4
Chad,Liberia,3
Chad,Mali,6
Chad,Namibia,6
Chad,Niger,3
Chad,Sudan,4
Chile,Argentina,17
Chile,Bolivia,1
Chile,Brazil,15
Chile,Colombia,8
Chile,Costa Rica,3
Chile,Ecuador,4
Chile,Ghana,1
Chile,Honduras,3
Chile,Mexico,4
Chile,Morocco,3
Chile,Paraguay,9
Chile,Peru,15
Chile,Poland,3
Chile,Qatar,1
Chile,Slovakia,1
Chile,South Korea,4
Chile,Tunisia,3
Chile,United States,1
Chile,Uruguay,18
Chile,Venezuela,3
China PR,Australia,4
China PR,Bahrain,1
China PR,India,1
China PR,Iran,3
China PR,Iraq,3
China PR,Japan,9
China PR,Jordan,1
China PR,Oman,4
China PR,Palestine,1
China PR,Philippines,1
China PR,Qatar,3
China PR,Saudi Arabia,4
China PR,South Korea,6
China PR,Syria,3
China PR,Vietnam,3
Colombia,Algeria,3
Colombia,Argentina,8
Colombia,Bolivia,1
Colombia,Brazil,14
Colombia,Chile,5
Colombia,Ecuador,4
Colombia,Paraguay,2
Colombia,Peru,12
Colombia,South Korea,3
Colombia,Uruguay,7
Colombia,Venezuela,4
Comoros,Burkina Faso,3
Comoros,Cameroon,7
Comoros,Egypt,4
Comoros,Eswatini,1
Comoros,Gabon,3
Comoros,Ivory Coast,3
Comoros,Malawi,6
Comoros,Morocco,3
Comoros,Namibia,4
Comoros,Palestine,3
Comoros,Togo,5
Comoros,Tunisia,3
Comoros,Zambia,3
Comoros,Zimbabwe,3
Congo,DR Congo,1
Congo,Equatorial Guinea,1
Congo,Gambia,3
Congo,Guinea-Bissau,3
Congo,Liberia,3
Congo,Madagascar,1
Congo,Mali,3
Congo,Mauritania,3
Congo,Namibia,2
Congo,Senegal,10
Congo,Sierra Leone,3
Congo,Thailand,1
Congo,Togo,4
Congo,Zambia,3
Congo,Zimbabwe,4
Costa Rica,Basque Country,3
Costa Rica,Bosnia and Herzegovina,1
Costa Rica,Canada,6
Costa Rica,Colombia,3
Costa Rica,Cura̤ao,1
Costa Rica,El Salvador,1
Costa Rica,Germany,12
Costa Rica,Guatemala,3
Costa Rica,Haiti,5
Costa Rica,Honduras,2
Costa Rica,Jamaica,1
Costa Rica,Japan,3
Costa Rica,Mexico,12
Costa Rica,Panama,10
Costa Rica,Peru,3
Costa Rica,Qatar,1
Costa Rica,South Korea,4
Costa Rica,Spain,12
Costa Rica,United States,12
Costa Rica,Uruguay,3
Croatia,Argentina,12
Croatia,Armenia,1
Croatia,Austria,9
Croatia,Azerbaijan,1
Croatia,Belgium,7
Croatia,Brazil,4
Croatia,Czech Republic,1
Croatia,England,15
Croatia,France,33
Croatia,Hungary,3
Croatia,Japan,4
Croatia,Morocco,4
Croatia,Portugal,19
Croatia,Russia,1
Croatia,Slovakia,1
Croatia,Slovenia,4
Croatia,Spain,12
Croatia,Sweden,9
Croatia,Tunisia,3
Croatia,Turkey,1
Croatia,Wales,1
Cuba,Barbados,1
Cuba,Canada,9
Cuba,Cura̤ao,3
Cuba,Dominican Republic,1
Cuba,French Guiana,3
Cuba,Guadeloupe,3
Cuba,Guatemala,12
Cuba,Haiti,3
Cuba,Martinique,3
Cuba,Mexico,3
Cuba,Nicaragua,7
Cuba,United States,6
Cura̤ao,Antigua and Barbuda,3
Cura̤ao,Bahrain,3
Cura̤ao,Canada,3
Cura̤ao,Costa Rica,4
Cura̤ao,El Salvador,3
Cura̤ao,Guatemala,1
Cura̤ao,Haiti,1
Cura̤ao,Honduras,3
Cura̤ao,Indonesia,6
Cura̤ao,Jamaica,1
Cura̤ao,New Zealand,3
Cura̤ao,Panama,4
Cura̤ao,United States,3
Cyprus,Azerbaijan,12
Cyprus,Belgium,6
Cyprus,Bulgaria,15
Cyprus,Croatia,6
Cyprus,Czech Republic,3
Cyprus,Estonia,3
Cyprus,Greece,12
Cyprus,Hungary,3
Cyprus,Kazakhstan,1
Cyprus,Kosovo,18
Cyprus,Luxembourg,9
Cyprus,Malta,4
Cyprus,Montenegro,18
Cyprus,Northern Ireland,6
Cyprus,Norway,18
Cyprus,Russia,12
Cyprus,Scotland,6
Cyprus,Slovakia,4
Cyprus,Slovenia,6
Cyprus,Ukraine,3
Czech Republic,Belgium,4
Czech Republic,Brazil,3
Czech Republic,Bulgaria,3
Czech Republic,Croatia,1
Czech Republic,Denmark,3
Czech Republic,England,6
Czech Republic,Germany,3
Czech Republic,Italy,3
Czech Republic,Kosovo,3
Czech Republic,Northern Ireland,3
Czech Republic,Portugal,18
Czech Republic,Russia,3
Czech Republic,Scotland,18
Czech Republic,Spain,12
Czech Republic,Sweden,3
Czech Republic,Switzerland,9
Czech Republic,Turkey,3
Czech Republic,Ukraine,19
Czech Republic,Wales,5
DR Congo,Algeria,1
DR Congo,Bahrain,3
DR Congo,Benin,1
DR Congo,Burkina Faso,7
DR Congo,Congo,1
DR Congo,Egypt,3
DR Congo,Gabon,7
DR Congo,Gambia,1
DR Congo,Ivory Coast,3
DR Congo,Kenya,1
DR Congo,Madagascar,4
DR Congo,Mali,1
DR Congo,Morocco,5
DR Congo,Rwanda,3
DR Congo,Sudan,3
DR Congo,Tanzania,1
DR Congo,Tunisia,3
DR Congo,Uganda,3
Denmark,Australia,12
Denmark,Belgium,21
Denmark,Croatia,18
Denmark,England,6
Denmark,Finland,3
Denmark,France,12
Denmark,Georgia,1
Denmark,Germany,1
Denmark,Kosovo,1
Denmark,Netherlands,3
Denmark,Republic of Ireland,8
Denmark,Scotland,3
Denmark,Slovakia,3
Denmark,Switzerland,1
Denmark,Tunisia,4
Djibouti,Algeria,6
Djibouti,Burkina Faso,6
Djibouti,Eswatini,1
Djibouti,Ethiopia,6
Djibouti,Gambia,2
Djibouti,Lebanon,3
Djibouti,Niger,6
Djibouti,South Sudan,6
Dominica,Anguilla,2
Dominica,Barbados,1
Dominica,Canada,3
Dominica,Dominican Republic,3
Dominica,Nicaragua,6
Dominica,Panama,3
Dominica,Saint Lucia,3
Dominica,Saint Vincent and the Grenadines,3
Dominica,Suriname,7
Dominican Republic,Barbados,1
Dominican Republic,Bermuda,3
Dominican Republic,Cuba,7
Dominican Republic,El Salvador,3
Dominican Republic,French Guiana,3
Dominican Republic,Guatemala,5
Dominican Republic,Montserrat,4
Dominican Republic,Panama,3
Dominican Republic,Puerto Rico,3
Dominican Republic,Saint Lucia,3
Dominican Republic,Serbia,1
Dominican Republic,United Arab Emirates,3
Ecuador,Argentina,16
Ecuador,Brazil,7
Ecuador,Chile,10
Ecuador,Colombia,13
Ecuador,El Salvador,1
Ecuador,Honduras,1
Ecuador,Iraq,1
Ecuador,Japan,4
Ecuador,Mexico,4
Ecuador,Netherlands,4
Ecuador,Oman,1
Ecuador,Paraguay,3
Ecuador,Peru,7
Ecuador,Qatar,3
Ecuador,Saudi Arabia,1
Ecuador,Senegal,12
Ecuador,United States,3
Ecuador,Uruguay,12
Ecuador,Venezuela,7
Egypt,Algeria,1
Egypt,Angola,1
Egypt,Cameroon,1
Egypt,Comoros,1
Egypt,Ethiopia,3
Egypt,Gabon,1
Egypt,Ivory Coast,1
Egypt,Kenya,2
Egypt,Niger,1
Egypt,Nigeria,6
Egypt,Qatar,1
Egypt,Senegal,4
Egypt,South Africa,3
Egypt,South Korea,3
Egypt,Tunisia,3
El Salvador,Bermuda,3
El Salvador,Bolivia,3
El Salvador,Brazil,3
El Salvador,Canada,6
El Salvador,Chile,3
El Salvador,Costa Rica,7
El Salvador,Dominican Republic,3
El Salvador,Ecuador,1
El Salvador,Grenada,1
El Salvador,Guatemala,7
El Salvador,Honduras,4
El Salvador,Iceland,3
El Salvador,Jamaica,3
El Salvador,Japan,3
El Salvador,Mexico,9
El Salvador,Montserrat,1
El Salvador,Nicaragua,3
El Salvador,Panama,3
El Salvador,Peru,3
El Salvador,Qatar,6
El Salvador,United States,8
England,Belgium,9
England,Croatia,3
England,Czech Republic,3
England,Denmark,12
England,France,12
England,Germany,6
England,Hungary,19
England,Italy,13
England,Netherlands,9
England,Poland,1
England,Scotland,1
England,Spain,9
England,Switzerland,3
England,United States,4
Equatorial Guinea,Angola,1
Equatorial Guinea,Chad,1
Equatorial Guinea,Congo,4
Equatorial Guinea,Guinea-Bissau,3
Equatorial Guinea,Ivory Coast,3
Equatorial Guinea,Liberia,1
Equatorial Guinea,Madagascar,6
Equatorial Guinea,Mali,1
Equatorial Guinea,Mauritania,1
Equatorial Guinea,Rwanda,1
Equatorial Guinea,Saudi Arabia,3
Equatorial Guinea,Senegal,6
Equatorial Guinea,South Sudan,1
Equatorial Guinea,Tanzania,3
Equatorial Guinea,Togo,2
Equatorial Guinea,Tunisia,12
Equatorial Guinea,Zambia,1
Estonia,Albania,1
Estonia,Argentina,3
Estonia,Armenia,12
Estonia,Belarus,7
Estonia,Belgium,6
Estonia,Cyprus,12
Estonia,Czech Republic,6
Estonia,Finland,18
Estonia,Georgia,12
Estonia,Germany,6
Estonia,Greece,9
Estonia,Hungary,12
Estonia,Iceland,1
Estonia,Italy,3
Estonia,Latvia,1
Estonia,Lithuania,3
Estonia,Netherlands,6
Estonia,North Macedonia,12
Estonia,Northern Ireland,9
Estonia,Sweden,3
Estonia,Ukraine,3
Estonia,Wales,4
Eswatini,Angola,2
Eswatini,Botswana,1
Eswatini,Burkina Faso,3
Eswatini,Comoros,1
Eswatini,Djibouti,4
Eswatini,Egypt,6
Eswatini,Guinea-Bissau,6
Eswatini,Malawi,2
Eswatini,Mauritius,1
Eswatini,Mozambique,2
Eswatini,Senegal,5
Eswatini,South Africa,3
Eswatini,Togo,1
Eswatini,Zambia,4
Ethiopia,Burkina Faso,1
Ethiopia,Burundi,1
Ethiopia,Cameroon,3
Ethiopia,Cape Verde,3
Ethiopia,Comoros,3
Ethiopia,Ghana,7
Ethiopia,Ivory Coast,3
Ethiopia,Kenya,1
Ethiopia,Lesotho,4
Ethiopia,Madagascar,3
Ethiopia,Malawi,3
Ethiopia,Rwanda,4
Ethiopia,Sierra Leone,1
Ethiopia,South Africa,6
Ethiopia,Sudan,2
Ethiopia,Uganda,3
Ethiopia,Zimbabwe,1
Faroe Islands,Austria,6
Faroe Islands,Azerbaijan,18
Faroe Islands,Czech Republic,3
Faroe Islands,Denmark,9
Faroe Islands,Gibraltar,1
Faroe Islands,Iceland,3
Faroe Islands,Israel,6
Faroe Islands,Kosovo,13
Faroe Islands,Latvia,6
Faroe Islands,Lithuania,6
Faroe Islands,Luxembourg,12
Faroe Islands,Malta,9
Faroe Islands,Moldova,1
Faroe Islands,Norway,6
Faroe Islands,Romania,6
Faroe Islands,Scotland,6
Faroe Islands,Spain,6
Faroe Islands,Sweden,6
Faroe Islands,Turkey,9
Fiji,New Caledonia,3
Fiji,New Zealand,3
Fiji,Papua New Guinea,7
Fiji,Singapore,3
Fiji,Solomon Islands,3
Fiji,Tahiti,1
Fiji,Vanuatu,1
Finland,Belgium,3
Finland,Bosnia and Herzegovina,16
Finland,Estonia,6
Finland,France,6
Finland,Greece,12
Finland,Hungary,9
Finland,Iceland,1
Finland,Italy,6
Finland,North Macedonia,1
Finland,Norway,1
Finland,Poland,3
Finland,Romania,12
Finland,Russia,3
Finland,Slovakia,3
Finland,Sweden,3
Finland,Switzerland,3
Finland,Ukraine,4
Finland,Wales,19
France,Argentina,4
France,Austria,3
France,Bosnia and Herzegovina,1
France,Croatia,12
France,Denmark,18
France,Finland,3
France,Germany,3
France,Hungary,1
France,Iceland,1
France,Netherlands,9
France,Portugal,4
France,Switzerland,1
France,Tunisia,12
France,Turkey,4
France,Ukraine,2
French Guiana,Belize,4
French Guiana,Canada,3
French Guiana,Grenada,4
French Guiana,Saint Kitts and Nevis,1
French Guiana,Saint Vincent and the Grenadines,3
French Guiana,Trinidad and Tobago,1
Gabon,Angola,6
Gabon,Benin,3
Gabon,Burkina Faso,4
Gabon,Burundi,1
Gabon,DR Congo,1
Gabon,Egypt,4
Gabon,Ghana,1
Gabon,Libya,3
Gabon,Mauritania,2
Gabon,Morocco,1
Gabon,Zambia,3
Gambia,Algeria,1
Gambia,Angola,6
Gambia,Cameroon,3
Gambia,Chad,1
Gambia,Congo,3
Gambia,DR Congo,4
Gambia,Djibouti,2
Gambia,Guinea-Bissau,1
Gambia,Kosovo,3
Gambia,Mali,1
Gambia,New Zealand,3
Gambia,Sierra Leone,3
Gambia,Togo,1
Gambia,United Arab Emirates,1
