Food Name,Country/Region,Description,Calories,Serving Type,Main Ingredients,Category,Preparation Time,Popularity Rank
Okonomiyaki,Japan,Savory pancake with toppings.,276,Cold,Varies,Snack,20,27
Kimchi,Korea,Fermented cabbage dish.,277,Hot,Varies,Main Course,25,28
Souvlaki,Greece,Grilled meat skewers.,278,Cold,Varies,Snack,30,29
Chimichurri Sandwich,Argentina,Steak sandwich with chimichurri sauce.,279,Cold,Varies,Main Course,35,30
Poutine,Canada,Fries topped with cheese curds and gravy.,280,Hot,Varies,Snack,15,31
Chorip�n,Argentina,Sausage sandwich.,281,Cold,Varies,Main Course,20,32
Fried Plantains,Caribbean,Sweet fried bananas.,282,Cold,Varies,Snack,25,33
Poffertjes,Netherlands,Mini fluffy pancakes.,283,Hot,Varies,Main Course,30,34
Baozi,China,Steamed buns with meat.,284,Cold,Varies,Snack,35,35
Lahmacun,Turkey,Thin crispy flatbread with toppings.,285,Cold,Varies,Main Course,15,36
Fish Tacos,Mexico,Grilled fish in tortillas.,286,Hot,Varies,Snack,20,37
Biryani,India,Spiced rice dish.,287,Cold,Varies,Main Course,25,38
Huevos Rancheros,Mexico,Eggs with salsa and tortillas.,288,Cold,Varies,Snack,30,39
Cheesesteak,USA,Beef sandwich with cheese.,289,Hot,Varies,Main Course,35,40
Sichuan Noodles,China,Spicy noodle soup.,290,Cold,Varies,Snack,15,41
Roti Canai,Malaysia,Flatbread with curry.,291,Cold,Varies,Main Course,20,42
Gimbap,Korea,Seaweed rice rolls.,292,Hot,Varies,Snack,25,43
Tamago Sushi,Japan,Egg sushi.,293,Cold,Varies,Main Course,30,44
Baba Ganoush,Middle East,Eggplant dip.,294,Cold,Varies,Snack,35,45
Meat Pie,Australia,Meat-filled pastry.,295,Hot,Varies,Main Course,15,46
Murtabak,Malaysia,Stuffed flatbread.,296,Cold,Varies,Snack,20,47
Bubble Tea,Taiwan,Tea with chewy tapioca balls.,297,Cold,Varies,Main Course,25,48
Crepes,France,Thin pancakes.,298,Hot,Varies,Snack,30,49
Halo Halo,Philippines,Shaved ice dessert.,299,Cold,Varies,Main Course,35,50
Chimichanga,Mexico,Deep-fried burrito.,250,Cold,Varies,Snack,15,51
Fried Rice,China,Stir-fried rice.,251,Hot,Varies,Main Course,20,52
Frites,Belgium,Thick-cut fries.,252,Cold,Varies,Snack,25,53
Khinkali,Georgia,Soup dumplings.,253,Cold,Varies,Main Course,30,54
Mochi,Japan,Sticky rice cakes.,254,Hot,Varies,Snack,35,55
Currywurst,Germany,Grilled sausage with curry sauce.,255,Cold,Varies,Main Course,15,56
Ramen,Japan,Noodle soup.,256,Cold,Varies,Snack,20,57
Croque Monsieur,France,Grilled ham and cheese sandwich.,257,Hot,Varies,Main Course,25,58
Chaat,India,Spiced snack mix.,258,Cold,Varies,Snack,30,59
Arequipe,Colombia,Sweet caramel spread.,259,Cold,Varies,Main Course,35,60
Pho Cuon,Vietnam,Fresh spring rolls.,260,Hot,Varies,Snack,15,61
Pizza Margherita,Italy,Thin crust pizza with tomatoes.,261,Cold,Varies,Main Course,20,62
Tortilla Espa�ola,Spain,Spanish potato omelette.,262,Cold,Varies,Snack,25,63
Picarones,Peru,Fried dough with molasses.,263,Hot,Varies,Main Course,30,64
Hoppers,Sri Lanka,Crispy rice crepes.,264,Cold,Varies,Snack,35,65
Kare Kare,Philippines,Peanut stew.,265,Cold,Varies,Main Course,15,66
Picarones,Peru,Fried doughnuts.,266,Hot,Varies,Snack,20,67
Kofta,India,Meatball curry.,267,Cold,Varies,Main Course,25,68
Adobo,Philippines,Stewed meat with soy sauce.,268,Cold,Varies,Snack,30,69
Shrimp Po' Boy,USA,Fried shrimp sandwich.,269,Hot,Varies,Main Course,35,70
Hummus,Middle East,Chickpea dip.,270,Cold,Varies,Snack,15,71
Pavlova,New Zealand,Pavlova cake.,271,Cold,Varies,Main Course,20,72
Raita,India,Yogurt-based side dish.,272,Hot,Varies,Snack,25,73
Kulfi,India,Indian ice cream.,273,Cold,Varies,Main Course,30,74
Gumbo,USA,Seafood stew.,274,Cold,Varies,Snack,35,75
Cassava Cake,Caribbean,Cassava-based dessert.,275,Hot,Varies,Main Course,15,76
Tarte Tatin,France,Upside-down caramelized apple pie.,276,Cold,Varies,Snack,20,77
Fish and Chips,UK,Crispy fried fish with fries.,277,Cold,Varies,Main Course,25,78
Sinigang,Philippines,Sour tamarind soup.,278,Hot,Varies,Snack,30,79
Escargot,France,Snails cooked in garlic butter.,279,Cold,Varies,Main Course,35,80
Tagine,Morocco,Moroccan slow-cooked stew.,280,Cold,Varies,Snack,15,81
Sate Padang,Indonesia,Spicy skewered meat.,281,Hot,Varies,Main Course,20,82
Polenta,Italy,Boiled cornmeal dish.,282,Cold,Varies,Snack,25,83
Bibimbap,Korea,Mixed rice bowl.,283,Cold,Varies,Main Course,30,84
Pulled Pork Sandwich,USA,BBQ pork sandwich.,284,Hot,Varies,Snack,35,85
Pesto Pasta,Italy,Basil-flavored pasta.,285,Cold,Varies,Main Course,15,86
Arancini,Italy,Stuffed rice balls.,286,Cold,Varies,Snack,20,87
Bao Buns,China,Steamed buns.,287,Hot,Varies,Main Course,25,88
Malpua,India,Sweet fried pancakes.,288,Cold,Varies,Snack,30,89
Rasgulla,India,Sweet cheese dessert.,289,Cold,Varies,Main Course,35,90
Biryani Wraps,India,Rice and meat wraps.,290,Hot,Varies,Snack,15,91
Tikka Rolls,India,Spiced meat rolls.,291,Cold,Varies,Main Course,20,92
Shabu Shabu,Japan,Hot pot dish.,292,Cold,Varies,Snack,25,93
Stuffed Paratha,India,Stuffed flatbread.,293,Hot,Varies,Main Course,30,94
Momo,Nepal,Steamed dumplings.,294,Cold,Varies,Snack,35,95
Onigiri,Japan,Rice balls.,295,Cold,Varies,Main Course,15,96
Katsu Curry,Japan,Breaded chicken curry.,296,Hot,Varies,Snack,20,97
Tteokbokki,Korea,Spicy rice cakes.,297,Cold,Varies,Main Course,25,98
Mapo Tofu,China,Tofu in spicy sauce.,298,Cold,Varies,Snack,30,99
Laksa,Malaysia,Spicy noodle soup.,299,Hot,Varies,Main Course,35,100
Chili Crab,Singapore,Chili-flavored crab.,250,Cold,Varies,Snack,15,101
Apple Pie,USA,Sweet baked pastry.,251,Cold,Varies,Main Course,20,102
